projection	area	project	activity	domain	institute	model	experiment	ensemble	rcm	downscaling
New-Caledonia_CORDEX_none_AUS-22_CLMcom-HZG_MOHC-HadGEM2-ES_rcp26_r1ip1_CCLM5-0-15_v1	New-Caledonia	CORDEX	none	AUS-22	CLMcom-HZG	MOHC-HadGEM2-ES	rcp26	r1ip1	CCLM5-0-15	v1
New-Caledonia_CMIP5_none_none_MOHC_HadGEM2-ES_rcp26_r1i1p1_none_none	New-Caledonia	CMIP5	none	none	MOHC	HadGEM2-ES	rcp26	r1i1p1	none	none
New-Caledonia_CMIP6_ScenarioMIP_none_MOHC_HadGEM3-GC31-LL_ssp126_r1i1p1f3_none_none	New-Caledonia	CMIP6	ScenarioMIP	none	MOHC	HadGEM3-GC31-LL	ssp126	r1i1p1f3	none	none
New-Caledonia_CMIP6_HighResMIP_none_MOHC_HadGEM3-GC31-HH_highres-future_r1i1p1f1_none_none	New-Caledonia	CMIP6	HighResMIP	none	MOHC	HadGEM3-GC31-HH	highres-future	r1i1p1f1	none	none
